program_id,genre_id
1,1
5,1
5,2
9,3
9,4
9,5
9,6
15,7
15,6
17,7
19,8
25,1
25,9
27,1
27,9
31,1
31,10
31,9
32,7
32,9
34,8
34,3
47,1
47,2
47,9
48,1
48,2
48,9
50,1
50,2
52,1
52,2
52,9
53,1
53,2
53,9
60,7
61,1
61,2
62,8
66,2
67,2
70,11
70,2
71,2
78,8
78,12
78,13
79,8
80,14
80,11
80,6
80,15
80,5
81,11
81,16
81,15
81,10
82,10
83,3
83,4
83,5
83,6
84,7
85,7
85,6
85,17
85,18
86,7
88,19
88,14
88,11
88,18
88,20
89,7
90,19
90,11
90,7
90,18
90,17
92,9
93,21
93,9
94,19
94,7
95,19
95,11
95,7
95,20
96,7
96,6
99,16
99,10
100,8
100,3
101,10
102,8
102,18
103,11
103,4
103,10
105,10
107,10
108,10
109,19
109,11
109,7
109,18
110,19
110,11
110,7
110,18
111,19
111,22
111,11
111,7
111,18
111,23
111,24
113,19
113,11
113,7
113,18
113,23
113,24
114,19
114,11
114,7
114,18
114,23
114,24
116,19
116,14
116,11
116,7
116,18
116,20
117,19
117,14
117,11
117,7
117,6
117,18
117,23
117,4
117,20
118,19
118,14
118,11
118,7
118,6
118,18
118,23
118,4
118,20
119,7
119,17
121,16
121,10
123,1
123,9
124,14
124,3
124,5
124,6
125,19
125,7
125,6
126,25
126,6
126,2
127,6
127,23
127,24
130,7
130,18
130,17
131,16
132,7
132,16
134,6
134,17
134,18
136,6
136,23
137,3
137,4
137,6
138,10
139,10
140,10
141,6
142,10
143,7
144,8
144,3
145,8
146,3
146,4
146,6
147,6
147,3
149,16
149,10
150,10
151,8
152,7
152,10
153,7
154,7
155,8
156,8
157,11
157,18
158,7
158,17
159,19
159,11
159,7
159,18
160,19
160,11
160,7
160,18
161,19
161,11
161,7
161,18
162,19
162,7
162,18
162,23
163,19
163,7
163,18
163,23
164,10
167,10
168,10
170,14
170,3
170,5
171,14
171,3
171,4
171,5
171,6
172,8
172,14
172,3
172,10
173,8
175,8
175,12
175,3
176,3
176,4
176,5
176,6
177,7
177,18
178,7
178,3
178,5
179,14
179,11
179,7
179,3
179,4
179,5
179,6
179,17
180,7
181,6
181,17
181,18
181,24
182,19
182,22
182,14
182,11
182,7
182,6
182,18
182,23
182,24
183,19
183,22
183,14
183,11
183,7
183,6
183,18
183,23
183,24
184,10
185,10
186,3
186,4
186,5
186,6
187,8
187,15
187,5
188,7
188,10
189,7
190,7
190,6
190,17
191,7
193,14
193,11
193,3
193,4
193,5
193,6
195,3
196,8
196,12
197,14
197,11
197,6
197,23
198,14
198,11
198,6
198,23
202,11
202,7
202,23
202,20
203,6
203,23
203,4
203,5
206,14
206,18
206,20
207,11
207,7
207,23
207,20
208,7
208,6
208,21
209,15
209,5
210,7
210,6
210,23
210,15
210,4
210,5
211,7
211,15
211,4
211,5
212,15
212,5
213,3
213,5
213,6
216,15
216,4
219,14
219,3
219,6
219,2
220,14
220,3
220,6
220,2
221,7
221,3
222,7
222,3
223,14
223,11
223,20
223,5
224,7
224,6
225,7
225,6
226,7
227,7
227,18
228,7
228,17
230,19
230,7
230,23
230,24
231,19
231,7
231,23
231,24
235,14
235,11
235,23
235,5
236,11
237,7
237,6
238,14
238,11
238,6
238,5
240,14
240,7
240,3
240,5
242,14
242,11
242,23
242,5
243,14
243,25
243,3
243,4
243,5
244,6
244,4
244,20
245,7
246,7
246,17
247,7
247,6
248,14
248,6
249,7
249,6
250,17
251,6
251,18
252,11
252,6
256,18
257,7
257,6
257,17
258,3
258,4
258,6
258,15
259,22
259,21
259,4
259,17
260,15
260,5
261,14
261,6
261,15
261,20
261,5
262,5
263,11
263,13
263,7
263,6
263,5
264,25
264,12
264,3
264,6
265,6
265,12
265,13
266,25
266,3
266,6
266,17
267,26
268,6
268,26
270,15
270,4
270,5
271,15
271,4
271,5
272,6
272,2
273,7
273,6
273,15
273,4
275,6
275,23
275,15
276,6
276,23
276,15
276,5
