episode_id,program_id,season_number,episode_number,episode_title,episode_synopsis
1,9,22,2,Ballad of Dwight and Irena,Rollins and Kat tend to a dangerous domestic violence call; Fin provides his deposition in the lawsuit against him.
2,62,1,9,McLaren P1,
3,62,1,7,Hilux Australia,
4,62,1,5,Ford Xr8 Australia,
5,78,2,1,Fighting Fox: Road to Hell,"A detailed examination of the paratroopers of Fighting Fox Company, who fought and died in World War II battles from Normandy to Hitler's Eagle's Nest, demonstrating both dogged determination..."
6,78,2,3,The Magnificent Bastards of Dai Do,"The story of the men of Echo Company, charged with facing down an overwhelming North Vietnamese Army in Dai Do, in order to rescue their fellow Marines."
7,79,1,2,Escape From Moscow,"Oleg Gordievsky, colonel in the KGB, the Soviet's Committee for State Security, spends ten years spying for Britain's Secret Intelligence Service when he discovers that the Soviets are..."
8,80,1,1,Old Acquaintances,"Once Maggie finds Negan, they travel to Manhattan; Negan is followed by a marshal named Armstrong; a quiet girl named Ginny."
9,80,1,2,Who's There?,Negan and Maggie meet native New Yorkers; Armstrong confronts a trauma; Ginny must try to adapt to change.
10,81,14,9,Legends and Rookies,"Legendary survivalists Max and Rylie join two novice fans in the South African bush, where they must survive for three weeks among spitting cobras, aggressive warthogs, rhinos and..."
11,82,6,10,Paranormal Cat- tivity,"After a desperate woman posts a video looking for a home for her problematic cat Jimmy Slap, Jackson is called in to offer her the help she needs; Harold the cat wants to kill fellow feline..."
12,83,6,18,Lauren,"Prentiss feels that she is ready to finally confront her nemesis, Ian Doyle, once and for all; the BAU team calls upon their beloved former team member in JJ to help them find Prentiss and..."
13,83,6,19,With Friends Like These...,"When a gang of suspected murderers start targeting a new victim per night, the BAU team travels to Portland to stop them before they can strike again; Hotch is on the hunt to find another..."
14,83,6,20,Hanley Waters,"As the team struggles to cope with the loss of Prentiss, a woman in a psychotic break goes on a killing rampage and seemingly behaves completely on emotion, as her victims are killed at random..."
15,84,2,11,Too Much Soul Food,Jamie and the family attempt to have a nice Thanksgiving dinner but when an unexpected accident befalls the head of the household the entire day is ruined with they are forced to go to the...
16,84,2,12,Super Face-Off,"Jamie brags about being named the employee of the month at the hotel; a Los Angeles jewel thief is on the loose within the city, and Jamie is mistaken by authorities for the real culprit and..."
17,84,2,13,Soul Mate to Cellmate,"Jamie begins dating a woman he meets at the hotel in order to make Fancy jealous, but he later discovers that the woman is married to a man in prison, and he expects to return home to his wife..."
18,85,10,3,All Lumped Together,Ella faces a frightening health situation after her annual mammogram reveals she has a lump in her breast; Malik's scholarship hangs in the balance when he faces the difficult choice between...
19,86,4,16,Golden Oldie,Mr. Brown's girlfriend is furious to learn Anastasia is competing in the same pageant as her; Leah is shocked when Jeremy buys her a broom for a birthday gift.
20,86,4,17,Big Thanks Little Thanks,Sandra's stint preparing Thanksgiving turkey leads to a lot of hungry residents; Anastasia struggles with the passing of an old friend.
21,86,4,18,Super Senior,Anastasia's plans to return to college face the reality of changing times; a rival facility challenges the Pleasant Days team to a charity walk.
22,88,1,10,Lucky Girl,A magician whose intimidating powers originate from within a set of mystical charms faces off against Ben in a battle that becomes increasingly ominous for the villain when his foe uses the...
23,89,2,2,Down and Outing,Tom and Jerry try to do each other in during a fishing trip.
24,89,3,3,It's Greek to Me-ow,Tom chases Jerry around during the times of Ancient Greece.
25,89,3,5,Landing Stripling,"Classic ""cat and mouse"" tales pit a hungry and high-spirited cat against a loveable and lively mouse as they romp and run through adventures that are full of mischief and mayhem, as well as..."
26,89,3,6,Calypso Cat,"Tom falls in love with a cat, but she loses interest in him when they reach an island."
27,89,2,8,Dicky Moe,Tom and Jerry are along for a ride on a ship as the captain is obsessed with killing a white whale.
28,90,1,116,Too Weak to Work,"Bluto checks himself into the hospital to fake exhaustion so that he can get some rest and enjoy some peace and quiet, and when Popeye discovers what Bluto is up to, he plays a trick on his..."
29,90,11,5,Ration Fer the Duration,"Popeye lectures his nephews on being productive with their time as he plants a victory garden, and when Popeye then falls asleep, he has a dream about climbing a giant beanstalk, which leads..."
30,92,23,121,Kristen Doute & Ariana Biermann,TV personalities Ariana Biermann and Kristen Doute.
31,93,7,174,Season 7 Episode 174,"Grammy Award-winning artist Kelly Clarkson interviews some of the biggest stars in the entertainment industry, spotlights individuals who have made a difference in their communities, and..."
32,94,19,7,Beyond the Alcove or: How I Learned to Stop Worrying and Love Klaus,Francine promises to take Klaus down because she is jealous of his improvements.
33,94,19,8,A Song of Knives and Fire,Stan and Francine assess their relationship and add some much-needed fire.
34,95,9,9,Salute Your Morts,"Morty and Summer go to camp, broh. Beth and Jerry home alone, broh."
35,95,3,3,Pickle Rick,"Rick's daughter named Beth decides to take her two children known as Summer and Morty Smith to a family therapy session, but her plans goes awry when her father Rick manages to turn himself..."
36,96,2,10,"Love, Rose","Blanche and Dorothy create a fictional admirer to answer Rose's personal ad, but the meddlesome roommates are left scrambling when she decides to invite who she believes to be her imaginary..."
37,99,2,3,'Hot' Chocolate,"Valerie Bertinelli and Duff Goldman ask the remaining bakers to incorporate chilies, peppers, and cayenne into the chocolate items the bakers prepared causing the kids to be able to balance..."
38,99,2,4,Macaron Stackaron,"The seven remaining kid bakers are challenged with preparing what is being called ""the new cupcake,"" the French macaron, said to be extremely demanding, and producing three dozen colorful..."
39,100,1,5,The Night Shift,A college student disappears from his graveyard shift at a gas station; new forensic technology and the discovery of an illegal drug ring in a squeaky-clean town helps police solve the case...
40,100,2,8,Ice Cold in Denver,Radio intern Helene Pruszynski is found brutalized in a snowy field in 1980; the case goes cold for 37 years until investigators use a public genealogy website that leads them across the...
41,100,2,15,Friday Night Ghosts,"After five people are found murdered in an oil field in 1983, the authorities name a well-connected local man as their main suspect, but new evidence reveals that the true killers had been..."
42,101,3,5,"Doctors, Divas and 2 Worthless Nuts","The competition pits potential Pitmasters against one another in Salisbury, Md., where Purdue Chicken got its humble start, which is why the competitors are tasked with creating various..."
43,101,3,6,The Grand Porkin' Finale,"Finalists come together for one last competitive showdown, where their barbecue skills are put to the ultimate test and only one worthy challenger will be able to walk away with the..."
44,102,27,2,Cozying Up to a House on the Canal in Jamaica Beach,"A family of five who enjoys spending time in Galveston, Texas, wants to find peace and quiet in the nearby city of Jamaica Beach, Texas, so they're on the hunt for a turnkey abode that boasts..."
45,103,8,2,Searching for America's Lost Flight,Host Josh Gates investigates one of the most mysterious airline disasters in the history of the United States as he attempts to uncover why Northwest Flight 2501 seemingly disappeared out of...
46,108,12,7,Charles' Journey,"After quitting his drug addiction, a man instead became addicted to food and soon found himself unable to stop even as he continues to put on weight."
47,108,8,1,John & Lonnie's Story,"Despite being on opposite ends of the spectrum and estranged for many years, brothers Lonnie and John find common ground when they make it their goal to live a healthier lifestyle and..."
48,109,3,2,Boss Life; Papaganda,"Gloria's café has a perfect rating, and she works hard to keep it that way until someone gives her a B rating; Bill drags his family along on a blackberry picking adventure and enforces a..."
49,110,3,3,Little Buddy; Zen Garden,"A wild child needs Cricket's guidance, so he steps up as a mentor and Tilly develops a loyal underground following; Nancy works to prove she can be useful on the farm while Bill tries and..."
50,110,3,4,No Service; Takened,"A convenience store's ""No Shoes, No Service"" policy stops Cricket in his barefooted tracks and forces him to borrow Tilly's shoes; Bill struggles to keep a secret after he learns that Remy is..."
51,111,1,15,Mall Leader; Ghost Wolf's Art,Kiff discovers the burdens of leadership while leading a group to the mall for free pretzels; Kiff and Barry hope to learn about the mysterious Ghost Wolf.
52,113,5,13,Chef Goofy on the Go!,"Mickey and the rest of the friends assist Goofy with completing his food deliveries for his lunch truck, which he calls ""Chef Goofy on the Go."""
53,114,5,7,Mickey's Mousekeball,"When Professor Von Drake introduces Mickey and his friends to a new innovative sport, the ball they're using gets away from them, so they are forced to change their playing field to the..."
54,116,3,1,The Hyper-potamus Pizza-Party-torium,"Lacking certain members, the team tries to prevent Noodle Burger Boy from achieving his goals while he is aided by his new family."
55,117,2,17,What Ever Happened to Donald Duck?!,Donald and Penumbra are forced to figure out how to escape from Moon Prison before they can warn planet Earth about an impending invasion; Dewey and Webby happen upon an evil conspiracy that...
56,117,2,19,A Nightmare on Killmotor Hill,"The children are drawn into a magical world that is comprised of their most exotic dreams, but the situation takes a dark turn when Lena's worst nightmare is actualized, where Magica De Spell..."
57,118,1,16,Family Fishing Trip; Bizarre Bazaar,"Sprig hopes to spend more time with Hop Pop while the family is out on a fishing trip, but one of Hop Pop's friend keeps getting in the way; Anne loses her music box while explores the strange..."
58,121,41,4,Food Family Takeover,Three restaurant crews featuring family and longtime employees compete.
59,121,38,4,Masters of Cheese,Four cheese-loving chefs face off in two Muenster-sized challenges in which Guy Fieri rolls a cheese die to determine who many types of cheese they must use in their dishes on their way to...
60,121,39,11,Super Spicy Games,"our chefs obsessed with spice bring the heat with a hometown dish, and then Guy Fieri challenges them to create an upscale spicy dinner featuring ingredients chosen from a pyramid of fire for..."
61,123,60,145,Season 60 Episode 145,"Host and Reverend Pat Robertson joins a panel of guests for a discussion of religious commentary on news events, featured stories, contemporary music, interviews, testamonies, politics, the..."
62,125,12,11,Trans-Fascism,"The Arlen City Council's ban on foods containing trans-fats leads Hank to get involved in a dirty battle between two rival lunch trucks that are trying to traffic their tasty, unhealthy fare..."
